condutor/0/categoriaAtual,condutor/0/nome,condutor/0/cpf,condutor/0/dataPrimeiraHabilitacao,condutor/0/dataNascimento,condutor/0/dataValidadeCnh,condutor/0/nacionalidade,condutor/0/nomeMae,condutor/0/nomePai,condutor/0/tipoDocumento,condutor/0/numeroDocumento,condutor/0/orgaoExpedidorDocumento,condutor/0/ufExpedidorDocumento,condutor/0/numeroRegistro,condutor/0/sexo,condutor/0/enderecoLogradouro,condutor/0/enderecoNumero,condutor/0/enderecoComplemento,condutor/0/enderecoBairro,condutor/0/enderecoCep,condutor/0/descricaoEnderecoMunicipio,condutor/0/enderecoUf,condutor/0/enderecoMunicipio,condutor/1/categoriaAtual,condutor/1/nome,condutor/1/cpf,condutor/1/dataPrimeiraHabilitacao,condutor/1/dataNascimento,condutor/1/dataValidadeCnh,condutor/1/nacionalidade,condutor/1/nomeMae,condutor/1/nomePai,condutor/1/tipoDocumento,condutor/1/numeroDocumento,condutor/1/orgaoExpedidorDocumento,condutor/1/ufExpedidorDocumento,condutor/1/numeroRegistro,condutor/1/sexo,condutor/1/retrato,condutor/1/enderecoLogradouro,condutor/1/enderecoNumero,condutor/1/enderecoComplemento,condutor/1/enderecoBairro,condutor/1/enderecoCep,condutor/1/descricaoEnderecoMunicipio,condutor/1/enderecoUf,condutor/2/categoriaAtual,condutor/2/nome,condutor/2/cpf,condutor/2/dataPrimeiraHabilitacao,condutor/2/dataNascimento,condutor/2/dataValidadeCnh,condutor/2/nacionalidade,condutor/2/nomeMae,condutor/2/nomePai,condutor/2/tipoDocumento,condutor/2/numeroDocumento,condutor/2/orgaoExpedidorDocumento,condutor/2/ufExpedidorDocumento,condutor/2/numeroRegistro,condutor/2/sexo,condutor/2/enderecoLogradouro,condutor/2/enderecoNumero,condutor/2/enderecoComplemento,condutor/2/enderecoBairro,condutor/2/enderecoCep,condutor/2/descricaoEnderecoMunicipio,condutor/2/enderecoUf
B,Rodrigo Mendes de Faria,35978068801,1989-04-05,1989-04-05,2020-04-26,1,Elza Soares Mendes de Faria,Pai do Rodrigo,1,6694845,DIC,PI,91323096477,1,Travessa Serrano,9274,,CENTRO,87865-820,BRASILIA,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Laurel Avery,47856021985,2003-04-05,1998-06-11,2018-07-24,1,Roberson Mcintosh,Nicole Mitchell,1,6694845,CTPS,SE,98790870628,1,Travessa Serrano,9477,,CENTRO,96698-740,BRASILIA,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Crawford Bernard,23479805647,1995-09-27,1977-04-15,2019-01-13,1,Charlene Stone,Mcgowan Cameron,1,6694845,IPF,TO,94833120234,1,Travessa Serrano,5754,,CENTRO,63836-921,BRASILIA,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Mara Petty,40532176871,1994-01-10,1967-02-25,2019-05-29,1,Julia Vasquez,Nguyen Pearson,1,6694845,POM,BA,94083585750,1,Travessa Serrano,9302,,CENTRO,23160-970,BRASILIA,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Earline Black,47123586964,2008-04-12,1977-10-28,2019-08-22,1,Eaton Rhodes,Peters Moody,1,6694845,MEX,AP,99045665027,1,Travessa Serrano,4976,,CENTRO,14253-410,BRASILIA,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Solis Rollins,49852036700,1995-12-30,1963-12-26,2018-12-03,1,Brooks Huffman,Isabel Mcclain,1,6694845,IPF,AL,91719451574,1,Travessa Serrano,5000,,CENTRO,93862-916,BRASILIA,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Bertha Booker,28769150494,1994-05-13,1997-03-28,2021-11-01,1,Garner Beard,Hull Solis,1,6694845,FGTS,MA,99604551921,1,Travessa Serrano,6816,,CENTRO,51235-402,BRASILIA,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Dominique Price,07691852312,1990-10-28,1996-07-04,2018-07-02,1,Nona Hyde,Delia Spears,1,6694845,IML,ES,92788840047,1,Travessa Serrano,6226,,CENTRO,72734-871,BRASILIA,PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Sargent Castaneda,10975384600,2015-09-12,1976-09-21,2019-01-23,1,Jeanine Faulkner,Bell Le,1,6694845,PC,ES,90207023512,1,Travessa Serrano,1761,,CENTRO,68794-174,BRASILIA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Rene Guthrie,01648527949,1992-11-22,1973-07-05,2019-05-03,1,Rush Sharpe,Juliet Peck,1,6694845,MTE,RN,90909675313,1,Travessa Serrano,7995,,CENTRO,32365-853,BRASILIA,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Singleton Vang,47893062592,2011-02-01,1971-05-02,2020-07-04,1,Jill Reyes,Hudson Whitaker,1,6694845,MAE,MT,92062738682,1,Travessa Serrano,4499,,CENTRO,40853-126,BRASILIA,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Sandra Douglas,98302514705,1984-12-26,1986-08-31,2021-07-05,1,Ronda Brooks,Mcfarland Winters,1,6694845,SSP,MG,94553084516,1,Travessa Serrano,3411,,CENTRO,37577-547,BRASILIA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Odonnell Higgins,18025346790,2002-12-01,1982-11-11,2018-03-08,1,Doreen Ball,Pearl Beck,1,6694845,DIC,MA,97118558245,1,Travessa Serrano,8342,,CENTRO,52120-477,BRASILIA,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Dale Gaines,64913872591,2007-07-08,1964-01-14,2021-01-12,1,Butler West,Cassie Buchanan,1,6694845,SJS,PI,95769126497,1,Travessa Serrano,9936,,CENTRO,26754-347,BRASILIA,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Selma Hebert,52389071686,1983-06-12,1964-06-29,2020-05-25,1,Macias Navarro,Nichols Vaughn,1,6694845,POM,AL,96131928903,1,Travessa Serrano,2527,,CENTRO,93477-575,BRASILIA,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Mercedes Browning,05137518743,1998-01-29,1980-09-28,2018-09-04,1,May Lester,Jane Gonzalez,1,6694845,SJTS,TO,99872334128,1,Travessa Serrano,7096,,CENTRO,86530-786,Nova Iguaçu,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Janna Lott,58136053391,1988-10-04,1966-11-12,2020-09-23,1,Christensen Norris,Ivy Gilbert,1,6694845,SJTS,SP,96134986031,1,Travessa Serrano,8510,,CENTRO,83756-184,BRASILIA,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADEMAR VEGA XIMENES,81845995104,1980-11-28,1994-06-23,2018-09-02,1,MARIA VEGA XIMENES,JOÃO VEGA XIMENES,1,6694845,DIC,MA,98668270420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
